"","time_index","Freq","obamacare","scotus","p2","aca","tcot","healthcare","hcr","gop","ilikeobamacare","obama","teaparty","fullrepeal","obama2012","romney","tlot","jobs","ows","health","news","medicare","topprog","politics","obamacareinthreewords","obamacares","medicaid","20mins","forward","4jobs","p2b","debatehealth","vote","ocra","p21","cnn","election2012","sgp","healthcareworks","romneycare","ctl","fb","thanksobamacare","lnyhbt","job","obamatax","smallbiz","mitt2012","sandy","romnesia","ff","mandate"
"1","03/17/12",320,13,2,16,4,11,6,13,9,0,5,2,0,6,0,1,1,3,3,5,0,1,0,0,5,0,0,0,1,0,0,0,1,1,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,1,2
"2","03/18/12",505,49,5,31,24,28,21,38,18,0,5,2,0,5,1,5,4,3,8,3,1,3,0,0,2,0,0,0,0,0,0,0,0,0,2,0,2,25,0,1,0,3,0,5,0,0,0,0,0,0,0
"3","03/19/12",1139,115,20,112,150,94,77,147,42,0,13,6,0,10,3,14,6,6,15,14,17,12,1,0,27,0,0,0,4,0,0,0,2,0,3,1,2,155,1,2,1,14,0,2,0,0,1,0,0,0,0
"4","03/20/12",1220,148,28,149,309,94,142,272,92,0,29,11,0,12,7,9,18,5,17,21,11,9,9,0,35,0,0,0,7,0,0,0,3,2,2,2,7,240,6,1,1,23,0,10,0,0,0,0,0,0,0
"5","03/21/12",1173,234,32,208,412,142,139,316,109,375,54,25,1,16,8,15,15,13,24,28,18,5,16,0,29,3,0,0,8,3,0,0,3,6,3,1,8,262,15,2,2,85,0,8,0,3,2,0,0,6,0
"6","03/22/12",1276,230,28,300,432,177,105,221,79,2026,66,34,1,52,7,13,12,48,22,35,16,10,19,0,98,3,0,0,5,3,0,0,4,10,3,1,8,215,14,2,2,97,0,7,0,3,5,0,0,9,0
"7","03/23/12",5039,620,258,635,634,500,229,494,216,3776,92,104,1,111,20,57,14,111,43,70,25,32,23,0,165,8,0,0,6,7,0,1,8,21,5,0,24,205,23,4,3,97,1,7,0,2,13,0,0,12,6
"8","03/24/12",1996,1244,664,674,549,639,374,713,310,1912,108,135,0,107,30,76,18,104,45,115,61,64,29,0,90,30,0,0,8,14,0,3,6,24,23,1,27,125,17,9,9,26,1,13,0,1,9,0,0,7,20
"9","03/25/12",1492,1535,826,749,628,664,437,772,328,1149,123,135,0,113,32,67,28,104,51,131,74,72,36,0,68,37,0,0,13,33,0,3,5,26,26,3,27,127,17,8,12,26,1,18,0,1,6,0,0,8,27
"10","03/26/12",3620,1935,1043,1021,736,860,591,1001,381,928,150,177,0,179,42,91,60,168,88,160,82,102,55,0,65,40,0,0,28,53,0,4,14,34,30,4,39,124,20,13,18,46,2,49,0,20,6,0,0,13,28
"11","03/27/12",3599,2652,1476,1167,855,1014,737,1248,451,565,153,186,0,197,45,112,105,179,105,167,101,118,63,0,57,44,0,7,60,76,0,6,36,39,41,6,50,80,25,29,25,60,8,74,0,79,5,0,0,25,27
"12","03/28/12",3165,3394,2164,1278,964,1080,987,1306,478,267,185,204,3,206,61,122,108,203,115,174,96,142,86,0,45,50,0,9,72,92,0,5,45,38,62,16,54,45,26,44,40,72,20,71,0,80,6,0,0,26,28
"13","03/29/12",1744,3925,2887,1244,1208,1121,1195,1243,468,163,194,222,174,219,72,122,104,201,129,161,61,123,92,0,59,23,0,16,104,77,0,4,48,35,92,15,50,30,27,50,40,86,30,71,1,79,14,0,0,28,20
"14","03/30/12",1147,4235,3181,1274,1302,1153,1267,1231,494,115,202,245,263,226,94,127,100,201,125,152,56,117,102,0,75,23,0,20,106,83,0,3,59,34,101,14,51,30,31,55,43,89,34,69,2,82,18,0,0,28,19
"15","03/31/12",822,4439,3317,1274,1392,1139,1305,1199,478,84,213,245,332,226,98,123,99,175,120,152,58,112,105,33,81,24,0,22,115,86,0,4,59,34,112,15,45,27,34,56,43,89,35,66,7,84,21,0,0,20,19
"16","04/01/12",735,4622,3444,1237,1482,1140,1378,1185,486,59,231,246,374,205,100,123,100,158,117,156,53,105,111,56,80,24,0,23,125,90,0,3,54,36,113,16,41,29,34,60,50,90,37,63,12,84,26,0,0,19,20
"17","04/02/12",1179,4844,3586,1239,1618,1145,1435,1182,486,39,240,245,440,198,107,123,101,158,113,152,53,107,113,71,85,24,0,23,129,85,0,3,54,37,113,16,42,35,41,61,55,92,37,60,17,84,28,0,0,19,20
"18","04/03/12",1,4941,3625,1201,1648,1107,1434,1136,476,37,230,243,471,199,111,121,101,150,101,147,50,98,110,98,87,20,0,27,132,84,0,3,52,37,111,16,38,34,46,67,54,89,39,59,22,79,29,0,0,19,19
"19","06/19/12",747,5057,3684,1228,1714,1132,1458,1161,486,43,234,250,491,206,117,123,104,151,103,155,50,98,112,123,87,20,0,28,136,84,0,3,54,37,111,16,39,36,49,67,54,89,40,59,24,81,32,0,0,21,19
"20","06/20/12",885,5208,3728,1287,1789,1178,1476,1129,507,60,238,257,545,219,128,130,101,150,112,153,51,96,120,150,89,19,0,28,132,85,0,3,57,34,114,15,37,40,53,67,60,88,43,59,30,79,54,0,0,23,19
"21","06/21/12",1031,5410,3773,1347,1868,1213,1452,1096,523,71,243,260,617,223,130,133,84,175,106,162,50,97,129,158,95,20,0,32,131,80,0,3,56,34,116,16,40,40,58,67,64,82,46,35,34,73,76,0,1,24,21
"22","06/22/12",822,5642,3745,1403,1898,1267,1467,1056,564,93,262,280,659,234,139,138,80,183,107,168,48,107,148,188,101,19,0,32,129,84,0,2,54,35,119,16,43,40,66,70,66,75,47,31,38,67,81,0,33,24,17
"23","06/23/12",507,5758,3688,1443,1953,1300,1463,995,578,106,264,294,676,268,146,138,79,186,104,169,49,104,152,194,101,17,0,33,128,81,0,2,56,30,125,16,43,38,67,73,68,70,49,31,42,58,83,0,33,17,16
"24","06/24/12",885,5935,3699,1505,2005,1371,1474,975,604,118,276,321,700,280,157,152,81,194,99,173,47,105,151,200,113,17,0,35,123,83,0,3,58,30,124,17,52,32,75,74,71,70,51,29,49,53,86,0,33,17,16
"25","06/25/12",2101,6215,3740,1601,2114,1472,1544,967,641,148,296,345,738,291,182,170,84,191,101,187,47,121,166,228,119,20,0,34,123,99,0,4,57,38,128,20,56,38,85,74,76,71,58,26,63,52,90,0,33,24,16
"26","06/26/12",1471,6332,3571,1714,2198,1576,1587,923,665,155,316,391,873,313,204,177,72,197,102,187,43,129,180,570,116,27,0,36,153,106,0,7,56,40,130,20,55,38,90,88,78,65,63,27,87,44,95,0,33,46,21
"27","06/27/12",3811,6708,3576,1981,2329,1821,1624,944,794,169,351,495,941,353,240,200,67,231,115,207,39,144,206,613,305,32,0,40,157,111,0,8,65,54,138,26,71,38,107,91,83,64,76,12,114,36,102,0,33,64,21
"28","06/28/12",26902,9667,3696,3459,3423,3261,2347,1472,1574,204,627,868,1160,631,502,468,216,337,232,306,136,294,310,647,374,198,0,83,198,212,16,31,138,131,158,52,168,44,238,162,123,78,167,59,301,79,144,0,98,114,46
"29","06/29/12",10224,6541,690,2915,2101,2808,1842,1179,1281,87,619,751,481,535,536,445,324,265,277,218,234,259,215,447,309,257,147,153,114,175,135,128,144,157,62,126,164,16,187,141,102,35,152,86,259,70,81,84,103,140,81
"30","06/30/12",4384,5317,427,2348,1632,2240,1558,972,1036,41,530,571,256,456,453,382,302,212,250,164,223,213,163,50,110,242,147,142,72,145,135,123,125,147,44,116,136,8,149,114,87,31,125,82,200,56,65,84,103,93,76
"31","07/01/12",5348,4711,345,2083,1423,1987,1486,887,865,35,472,490,194,416,411,336,294,192,235,145,213,187,151,19,96,239,147,139,71,124,135,123,116,132,38,110,124,8,129,102,72,25,115,77,172,54,60,84,103,87,76
"32","07/02/12",5934,4081,270,1748,1199,1633,1396,807,649,27,425,376,140,356,370,286,285,158,224,123,209,147,125,17,79,234,147,131,60,100,135,120,106,113,34,105,110,8,112,86,68,23,99,76,113,46,53,84,103,86,75
"33","07/03/12",4052,3462,179,1391,908,1318,1191,697,467,14,380,306,95,312,320,231,267,121,203,104,200,114,100,4,60,219,147,123,42,71,135,117,95,106,24,99,77,6,76,63,60,23,85,55,81,40,49,84,103,72,72
"34","07/04/12",1929,2964,83,1151,739,1099,1104,611,340,13,343,246,66,252,301,184,254,84,191,84,182,85,75,2,57,206,147,116,30,52,135,117,87,91,21,98,66,6,57,51,54,15,82,51,47,31,45,84,103,66,69
"35","07/05/12",2767,2736,48,1064,673,1005,1072,549,262,13,327,224,61,239,282,166,244,78,180,79,181,76,64,1,54,197,147,114,29,42,135,117,80,86,15,97,61,6,41,46,54,15,68,46,41,28,38,84,103,61,68
"36","07/06/12",2394,2409,25,896,561,837,990,473,222,5,305,194,44,203,261,132,235,69,167,70,171,56,51,1,37,187,147,110,23,27,135,117,64,83,10,92,47,3,37,32,51,10,51,44,18,18,28,84,103,57,67
"37","07/07/12",15,2136,10,763,473,726,905,420,182,1,279,173,25,174,236,111,212,50,156,59,165,32,34,0,32,181,147,107,13,19,135,117,59,76,6,92,37,2,25,23,49,9,40,40,9,14,25,84,103,39,65
"38","10/22/12",1818,2133,10,762,473,724,905,420,182,1,279,172,25,174,235,111,212,50,156,59,165,31,34,0,32,181,147,107,13,19,135,117,59,76,6,92,37,2,25,23,49,9,40,40,9,14,25,84,103,39,65
"39","10/23/12",1050,1915,6,723,440,681,847,382,171,0,266,166,23,166,209,105,198,50,141,45,156,28,31,0,31,164,147,103,12,17,121,115,58,73,4,84,34,2,20,22,47,9,36,38,9,10,23,84,84,39,64
"40","10/24/12",1139,1798,6,674,416,648,782,347,164,0,247,154,23,164,203,98,174,50,131,41,146,28,30,0,31,135,147,101,12,16,120,114,52,71,4,81,32,2,18,22,45,9,34,35,9,10,23,84,67,36,59
"41","10/25/12",1515,1684,6,603,400,594,718,297,147,0,235,141,23,156,185,86,158,48,125,38,136,27,28,0,31,95,147,98,12,14,119,110,47,64,4,80,31,2,15,21,41,9,31,35,9,10,21,84,49,35,53
"42","10/26/12",1141,1575,5,551,381,553,646,262,137,0,214,134,21,148,169,81,140,47,117,31,114,26,27,0,29,72,147,97,12,11,119,98,43,56,4,78,28,2,14,21,39,8,29,32,7,9,20,84,34,34,49
"43","10/27/12",774,1467,3,500,359,510,580,234,127,0,204,119,21,134,149,73,129,42,104,30,103,24,24,0,29,55,147,96,12,11,110,92,37,46,4,73,28,2,12,20,32,8,26,25,7,9,20,84,30,30,46
"44","10/28/12",819,1377,3,468,344,485,558,225,119,0,193,109,20,128,141,69,124,36,100,26,97,23,23,0,27,55,147,94,11,11,110,92,35,43,4,70,28,2,12,19,32,8,26,24,7,9,20,84,27,30,42
"45","10/29/12",853,1302,3,431,328,440,532,216,103,0,179,98,20,119,124,61,117,28,91,23,87,23,21,0,23,52,147,92,11,11,110,87,32,35,4,68,26,2,11,18,24,5,25,23,7,9,20,83,27,28,38
"46","10/30/12",1113,1199,3,392,316,410,469,191,96,0,172,88,18,110,115,54,106,25,76,22,80,20,16,0,20,46,147,92,11,6,110,85,29,31,4,67,25,2,11,16,19,5,21,22,7,8,19,71,19,27,33
"47","10/31/12",932,1038,2,360,295,366,425,173,90,0,154,77,7,101,100,45,95,22,65,22,76,14,12,0,15,42,147,90,11,5,110,78,22,24,4,65,20,2,10,14,17,4,18,18,3,7,19,58,18,26,28
"48","11/01/12",1330,959,1,329,276,332,354,153,80,0,150,70,7,93,87,33,78,22,56,19,66,12,8,0,10,31,138,87,9,2,105,78,20,21,3,63,16,1,9,13,14,4,14,17,3,7,16,47,11,23,27
"49","11/02/12",1023,764,1,293,197,287,299,137,72,0,139,58,3,86,69,27,63,20,45,16,60,8,8,0,8,27,68,83,9,2,39,75,18,19,2,61,14,1,7,13,10,4,12,17,3,4,15,44,9,19,19
"50","11/03/12",902,598,1,243,143,229,238,116,56,0,116,45,3,76,56,21,45,19,36,10,46,4,5,0,6,21,27,81,6,1,10,72,16,12,2,59,11,1,5,9,10,4,10,16,2,3,10,37,5,8,19
"51","11/04/12",1018,499,1,208,138,187,222,100,46,0,102,36,3,63,48,17,36,15,35,9,35,4,3,0,5,19,27,79,6,1,9,66,13,7,2,58,8,1,5,9,9,4,6,14,2,3,10,27,4,6,11
"52","11/05/12",1633,379,1,170,125,147,183,83,38,0,84,28,2,51,32,16,32,14,32,8,26,4,3,0,4,16,27,77,6,1,8,60,12,7,1,52,7,1,4,8,9,4,4,10,1,3,8,16,2,6,9
"53","11/06/12",1931,238,1,107,70,89,111,64,25,0,59,17,0,19,9,10,23,11,20,7,19,0,1,0,4,8,16,23,6,0,7,43,6,4,0,37,4,0,3,5,7,2,2,6,1,2,1,7,1,4,8
"54","11/07/12",1570,106,0,43,24,35,53,32,11,0,28,6,0,6,1,2,11,5,10,6,11,0,1,0,2,3,0,5,4,0,0,0,3,2,0,13,2,0,0,1,4,1,0,3,0,0,1,0,0,2,3
"55","11/08/12",4,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
