"","time_index","volume","Obamacare","tcot","SCOTUS","p2","healthcare"
"1","03/17/12",923,53,94,2,40,14
"2","03/18/12",1187,164,187,7,66,36
"3","03/19/12",2861,586,530,34,206,115
"4","03/20/12",2808,1002,689,47,257,184
"5","03/21/12",2887,1447,901,68,349,196
"6","03/22/12",3681,1280,994,69,489,152
"7","03/23/12",13353,2224,2152,313,1087,304
"8","03/24/12",5489,3897,3148,1052,1317,536
"9","03/25/12",4330,4722,3708,1354,1563,658
"10","03/26/12",10099,5939,4952,1749,2061,905
"11","03/27/12",10051,7615,5778,2762,2387,1255
"12","03/28/12",8557,9513,5996,4975,2458,1886
"13","03/29/12",4800,10848,5974,6082,2421,2174
"14","03/30/12",3120,11612,6016,6511,2446,2342
"15","03/31/12",2018,12022,6000,6774,2429,2422
"16","04/01/12",1722,12391,5993,6915,2348,2475
"17","04/02/12",3137,12984,6114,7117,2405,2546
"18","04/03/12",2,13069,5963,7141,2381,2524
"19","06/19/12",2063,13427,6146,7241,2487,2557
"20","06/20/12",1977,13746,6255,7276,2608,2555
"21","06/21/12",2418,14244,6427,7313,2676,2552
"22","06/22/12",1728,14581,6682,7278,2742,2550
"23","06/23/12",1258,14797,6813,7231,2802,2539
"24","06/24/12",2067,15025,6991,7307,2874,2580
"25","06/25/12",4746,15549,7420,7387,3090,2674
"26","06/26/12",2946,15790,7798,7062,3360,2656
"27","06/27/12",8530,16656,8708,7088,3787,2696
"28","06/28/12",69384,24168,15861,7434,6792,3583
"29","06/29/12",27666,16295,13972,1602,6024,2369
"30","06/30/12",12669,12969,11238,963,4745,1964
"31","07/01/12",14178,11558,9991,803,4273,1864
"32","07/02/12",16434,9998,8517,634,3509,1713
"33","07/03/12",11258,8027,6784,383,2778,1394
"34","07/04/12",4930,6690,5530,193,2250,1263
"35","07/05/12",7619,6170,5050,125,2060,1211
"36","07/06/12",6260,5344,4185,67,1715,1090
"37","07/07/12",19,4615,3547,21,1465,979
"38","10/22/12",4558,4614,3546,21,1464,979
"39","10/23/12",2446,4197,3318,17,1379,915
"40","10/24/12",2673,3948,3171,17,1301,850
"41","10/25/12",3329,3725,2974,16,1201,781
"42","10/26/12",2474,3500,2752,16,1096,697
"43","10/27/12",1659,3262,2597,13,1015,623
"44","10/28/12",1859,3089,2486,12,960,588
"45","10/29/12",2178,2932,2351,10,906,554
"46","10/30/12",2722,2662,2189,10,826,494
"47","10/31/12",2682,2237,1934,7,741,443
"48","11/01/12",3608,1987,1701,4,666,389
"49","11/02/12",2867,1684,1405,3,573,326
"50","11/03/12",2582,1340,1174,3,488,275
"51","11/04/12",2980,1106,978,3,413,260
"52","11/05/12",4004,890,723,3,302,222
"53","11/06/12",4885,552,453,3,191,146
"54","11/07/12",4374,261,187,0,79,74
"55","11/08/12",7,1,0,0,0,1
